text,label
"Developed web applications using React and Node.js. Built REST APIs and managed MySQL database integration for system functionality.",Bahagian Pembangunan Aplikasi
"Experienced in designing scalable backend systems and integrating APIs for mobile applications using Python and Spring Boot.",Bahagian Pembangunan Aplikasi
"Implemented system modules for enterprise applications and performed debugging and testing for web-based platforms.",Bahagian Pembangunan Aplikasi
"Managed ICT project planning and ensured strategic alignment with organizational goals. Monitored KPI for digital transformation projects.",Bahagian Pelaksanaan Strategik ICT
"Developed ICT roadmap and coordinated project implementation across departments to ensure digital strategy execution.",Bahagian Pelaksanaan Strategik ICT
"Assisted in evaluating ICT performance metrics and prepared strategic reports for management decision making.",Bahagian Pelaksanaan Strategik ICT
"Monitored network traffic and handled security incidents including malware detection and firewall configuration.",Bahagian Keselamatan Siber
"Performed vulnerability assessment and penetration testing to ensure system security compliance.",Bahagian Keselamatan Siber
"Investigated cyber threats and implemented security controls for enterprise systems.",Bahagian Keselamatan Siber
"Prepared financial reports and managed budgeting activities for departmental expenditure control.",Bahagian Kewangan dan Akaun
"Handled accounts payable and receivable transactions and ensured accurate financial documentation.",Bahagian Kewangan dan Akaun
"Assisted in auditing process and supported financial analysis for monthly reporting.",Bahagian Kewangan dan Akaun
"Conducted recruitment process including interview scheduling and candidate screening for new hires.",Bahagian Pembangunan Sumber Manusia
"Managed employee training programs and monitored staff performance evaluation processes.",Bahagian Pembangunan Sumber Manusia
"Handled HR records including attendance, leave management, and employee engagement activities.",Bahagian Pembangunan Sumber Manusia
"Provided technical support for hardware and software issues including troubleshooting PCs and printers.",Bahagian Operasi Teknikal
"Installed and configured Windows and Linux systems and resolved system-related issues.",Bahagian Operasi Teknikal
"Assisted users in resolving IT problems and maintained IT equipment inventory.",Bahagian Operasi Teknikal
"Configured network devices including routers and switches and ensured stable connectivity.",Bahagian Rangkaian dan Komunikasi Digital
"Managed LAN/WiFi infrastructure and monitored network performance across departments.",Bahagian Rangkaian dan Komunikasi Digital
"Worked with TCP/IP configuration and supported VoIP communication systems.",Bahagian Rangkaian dan Komunikasi Digital
"Maintained server infrastructure including virtualization using VMware and Hyper-V platforms.",Bahagian Infrastruktur Pusat Data
"Managed backup systems and disaster recovery planning for enterprise data storage.",Bahagian Infrastruktur Pusat Data
"Monitored data center operations and ensured uptime of critical server systems.",Bahagian Infrastruktur Pusat Data
"Ensured ISO 9001 compliance and conducted internal audits for quality management systems.",Bahagian Korporat dan Kualiti
"Prepared documentation for corporate governance and quality assurance processes.",Bahagian Korporat dan Kualiti
"Improved organizational processes through continuous quality improvement initiatives.",Bahagian Korporat dan Kualiti
"Developed and enforced IT policies and ensured regulatory compliance across departments.",Bahagian Dasar dan Pematuhan
"Reviewed organizational procedures and ensured adherence to compliance standards.",Bahagian Dasar dan Pematuhan
"Assisted in drafting policy documents and regulatory frameworks for ICT governance.",Bahagian Dasar dan Pematuhan
"Applied machine learning techniques for data analysis and predictive modeling projects.",Bahagian Kecerdasan Digital
"Developed AI-based solutions and performed data preprocessing using Python.",Bahagian Kecerdasan Digital
"Worked on data analytics projects to extract insights from large datasets.",Bahagian Kecerdasan Digital
"Led digital transformation initiatives and implemented automation in business processes.",Bahagian Transformasi Digital
"Supported system modernization projects and improved workflow efficiency using digital tools.",Bahagian Transformasi Digital
"Assisted in change management and adoption of new digital technologies in organization.",Bahagian Transformasi Digital
"Provided ICT consultancy services and analyzed client system requirements.",Bahagian Perundingan ICT
"Designed IT solutions based on business needs and prepared technical proposals.",Bahagian Perundingan ICT
"Advised organizations on system architecture and technology selection strategies.",Bahagian Perundingan ICT
